Job Title,Company Name,Date,Location,Skill,Link,Salary,Requirements
Python Developer,Boca Pro,3 days ago,"Maadi, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · AWS · Computer Science · Django · Engineering · Flask · front-end · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/tlwvmv5vjrvq-python-developer-boca-pro-cairo-egypt,,
Data Entry (With Python Automation Experience),Confidential,1 hour ago,"Madina, Saudi Arabia ",Entry Level · 1 - 2 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Python Scripting · Python · Data Entry · Administration · Customer Service · Data · entry,https://wuzzuf.net/jobs/p/bouqsly4isqd-data-entry-with-python-automation-experience-madina-saudi-arabia,,
Python (Django) Developer,Teqneia,2 days ago,"Sheikh Zayed, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · APIs · Development · Information Technology (IT) · Computer Science · Git · Odoo,https://wuzzuf.net/jobs/p/ddbfgv871jlo-python-django-developer-teqneia-giza-egypt,,
Senior Python AI Developer,Vigtas,3 days ago,"Cairo, Egypt ",Experienced · 3 - 8 Yrs of Exp · IT/Software Development · AI · CI/CD · Python · Software Development · APIs · NLP · TensorFlow · Docker · Agile,https://wuzzuf.net/jobs/p/vab6snsugoi6-senior-python-ai-developer-vigtas-cairo-egypt,,
Backend Engineer (Python) - EdTech Startup,Darsel,5 hours ago,"Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science,https://wuzzuf.net/jobs/p/ivmknt2i3nip-backend-engineer-python---edtech-startup-darsel-cairo-egypt,,
Senior Python Developer,OdooTec,3 days ago,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Development · Computer Science · Software Development · Software Engineering · APIs · Information Technology (IT) · Communication skills · Team Leadership,https://wuzzuf.net/jobs/p/v2i2p7c24z4p-senior-python-developer-odootec-cairo-egypt,,
Renewable Energy Engineer,Storlytics,6 days ago,"Cairo, Egypt ",Entry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/ctfjnmfv8tge-renewable-energy-engineer-storlytics-cairo-egypt,,
Senior Data Analyst,Xceed Contact Center,6 days ago,"Cairo, Egypt ",Experienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas,https://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt,,
Data Scientist,Lumin,8 days ago,"Sheikh Zayed, Giza, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT),https://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt,,
Full Stack Developer,Offertivo,9 days ago,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Python · JavaScript · MySQL · React · Git · Linux · RESTful APIs,https://wuzzuf.net/jobs/p/ypb5ehdhmbxy-full-stack-developer-offertivo-cairo-egypt,,
Backend API Developer,AM SaleTech,24 days ago,"Cairo, Egypt ",Student · IT/Software Development · API · backend · Computer Science · developer · Information Technology (IT) · Software Engineering · Software Development · Design · Docker,https://wuzzuf.net/internship/jaywmltsif0u-backend-api-developer-am-saletech-cairo-egypt,,
Senior Odoo Developer (Minya),OdooTec,1 month ago,"Minya, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,https://wuzzuf.net/jobs/p/ndgp8pzpvzyg-senior-odoo-developer-minya-odootec-minya-egypt,,
Odoo Implementer,Premier UPVC,2 months ago,"Badr City, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo implementation · Odoo · ERP · Implementation · PostgreSQL · Python · Information Technology (IT) · Accounting,https://wuzzuf.net/jobs/p/ty2cacmewqex-odoo-implementer-premier-upvc-cairo-egypt,,
Senior Power BI Developer (GeoLocation Specialist),Madar Soft,10 days ago,"Fleming, Alexandria, Egypt ",Experienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling,https://wuzzuf.net/jobs/p/csxn8y1uwsfw-senior-power-bi-developer-geolocation-specialist-madar-soft-alexandria-egypt,,
Data Scientist,Egabi FSI,10 days ago,"Sheraton, Cairo, Egypt ",Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL,https://wuzzuf.net/jobs/p/8oulgynroyag-data-scientist-egabi-fsi-cairo-egypt,,
DevOps Engineer,Egabi FSI,7 days ago,"Sheraton, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · DevOps · Docker · Engineering · Information Technology (IT) · Git · Kubernetes,https://wuzzuf.net/jobs/p/bomzlmkmgwsg-devops-engineer-egabi-fsi-cairo-egypt,,
DevOps Engineer,WUZZUF,7 days ago,"Maadi, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · DevOps · Automation · AWS · Python · Bash · CI/CD,https://wuzzuf.net/jobs/p/wnos625vjcru-devops-engineer-wuzzuf-cairo-egypt,,
Technical Support,E@7CYBER FZCO,7 days ago,"Cairo, Egypt ",Experienced · 6 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · MCSE · Linux · Technical Support · Troubleshooting,https://wuzzuf.net/jobs/p/mokp3zjjb4kw-technical-support-e7cyber-fzco-cairo-egypt,,
Data Entry,Confidential,7 days ago,"Madina, Saudi Arabia ",Experienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Data Entry · Microsoft Office · computer · Python · Python Scripting · Customer Service · Typing · typing skills,https://wuzzuf.net/jobs/p/s6j1ln2dk8u1-data-entry-madina-saudi-arabia,,
Odoo Developer,Confidential,8 days ago,"Heliopolis, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Odoo · Odoo Development · Programming · Python · JavaScript · PostgreSQL,https://wuzzuf.net/jobs/p/a0a8f78hkhsc-odoo-developer-cairo-egypt,,
AI Engineer (LLM / NLP),Avanguard,4 days ago,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Development · AI · Engineering · Information Technology (IT) · NLP · Programming,https://wuzzuf.net/jobs/p/ltcf5rprkzib-ai-engineer-llm-nlp-avanguard-cairo-egypt,,
Python Developer,ZTechnium,7 days ago,"Nasr City, Cairo, Egypt ",Entry Level · IT/Software Development · Computer Science · Information Technology (IT) · Python · orm · Communication · Data · Data Structures · Linux · OOP,https://wuzzuf.net/internship/z5qnkkpkv4pw-python-developer-ztechnium-cairo-egypt,,
Senior Odoo Developer,National Technology,13 days ago,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · ERP · Information Technology (IT) · Java · JSF · MVC,https://wuzzuf.net/jobs/p/mg2sot4yzabd-senior-odoo-developer-national-technology-cairo-egypt,,
Odoo Developer,Knoz Elhekma Company,2 months ago,"Sheraton, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Odoo · Development · Engineering · Software Development · Software · Computer Science · Information Technology (IT) · Android · Mobile Development,https://wuzzuf.net/jobs/p/gourqvyrssku-odoo-developer-knoz-elhekma-company-cairo-egypt,,
Odoo Developer,Kandil Industries,16 days ago,"Nasr City, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Odoo · Python · REST · Software · Software Development,https://wuzzuf.net/jobs/p/ykl2o9jdzstj-odoo-developer-kandil-industries-cairo-egypt,,
IoT Engineer,HITS Solutions,14 days ago,"Nasr City, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IOT · Engineering · Computer Science · Information Technology (IT) · MQTT · Embedded Systems · Python · Azure,https://wuzzuf.net/jobs/p/a8c0jc4b7lj1-iot-engineer-hits-solutions-cairo-egypt,,
Data Engineer Team Lead,COB Solution,14 days ago,"Maadi, Cairo, Egypt ",Manager · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Data · Information Technology (IT) · Software · Computer Engineering · AWS · Azure · Java,https://wuzzuf.net/jobs/p/nudjhsulxmyk-data-engineer-team-lead-cob-solution-cairo-egypt,,
Purchasing Assistant,Confidential,14 days ago,"Madina, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · Administration · Logistics/Supply Chain · Purchasing/Procurement · Python · python development · Purchasing · Commerce · Procurement · Logistics · Supply,https://wuzzuf.net/jobs/p/mzdpwp9j9p4f-purchasing-assistant-madina-saudi-arabia,,
AI Trainer Technical Track Engineers & Developers,Avanguard,15 days ago,"New Cairo, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Training/Instructor · AI · Engineering · Training · Analysis · AWS · Computer Science · Data Science · Python,https://wuzzuf.net/jobs/p/knglwhitlivy-ai-trainer-technical-track-engineers-developers-avanguard-cairo-egypt,,
Chief Technology Officer,Confidential,17 days ago,"New Cairo, Cairo, Egypt ",Manager · 10+ Yrs of Exp · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Agile · business · Computer Engineering · Computer Science · CTO · Engineering · Finance · Information Technology (IT),https://wuzzuf.net/jobs/p/c97xt6ofdiqy-chief-technology-officer-cairo-egypt,,
Kubernetes/Cloud Native Engineer(s),EXALT Technologies,22 days ago,"Sheraton, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · Engineering · Information Technology (IT) · Infrastructure · Linux · Networking,https://wuzzuf.net/jobs/p/mfkt3jzyg6cw-kubernetescloud-native-engineers-exalt-technologies-cairo-egypt,,
Django Backend Developer & AI Integration Engineer,ScribeMe,23 days ago,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Django · Python · OCR · Computer Vision · Alt text · real-time AI · Database Management,https://wuzzuf.net/jobs/p/le5ejia8ouix-django-backend-developer-ai-integration-engineer-scribeme-cairo-egypt,,
Odoo Developer,ACS logistic company,24 days ago,"Gomrok, Alexandria, Egypt ",Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering · Computer Science · ERP · Information Technology (IT) · JavaScript · Odoo · PostgreSQL · Python · Software Engineering,https://wuzzuf.net/jobs/p/5kkbjroxtfro-odoo-developer-acs-logistic-company-alexandria-egypt,,
System Administrator Supervisor,Rashideen Egypt for Trade,24 days ago,"Katameya, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Engineering · Information Technology (IT) · network · networks · LAN,https://wuzzuf.net/jobs/p/anomviqfinfe-system-administrator-supervisor-rashideen-egypt-for-trade-cairo-egypt,,
Odoo Developer,Crevisoft Corporation,27 days ago,"Maadi, Cairo, Egypt ",Entry Level · 2 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Odoo · Git · HTML · Information Technology (IT) · JavaScript · jQuery · Linux · Python,https://wuzzuf.net/jobs/p/ic7njfwncrf4-odoo-developer-crevisoft-corporation-cairo-egypt,,
Data Engineer,CreoTech,28 days ago,"Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Maintenance · Engineering · AWS · Data,https://wuzzuf.net/jobs/p/uomigj9unfl4-data-engineer-creotech-cairo-egypt,,
Senior Odoo Developer,Algoriza,29 days ago,"6th of October, Giza, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Odoo Developer · Odoo · Software Development · Computer Science · Development · Information Technology (IT) · Git · JavaScript · JSON,https://wuzzuf.net/jobs/p/gt1gtllf4jvm-senior-odoo-developer-algoriza-giza-egypt,,
Ruby on Rails Developer,Fareeqy |  فريقي,27 days ago,"Cairo, Egypt ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Ruby · Ruby on Rails · HTML · CSS · Software Development · Web Development · Rails · Computer Science,https://wuzzuf.net/internship/r8fhrewjbw3v-ruby-on-rails-developer-fareeqy- فريقي-cairo-egypt,,
Value-Based Healthcare Analytics Specialist,MEAHCO  Saudi German Health,1 month ago,"Katameya, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Medical/Healthcare · Quality · Analyst/Research · SQL · python development · SAS · Tableau · Power BI · QlikView · Microsoft Excel,https://wuzzuf.net/jobs/p/xfkkp9lu2duk-value-based-healthcare-analytics-specialist-meahco---saudi-german-health-cairo-egypt,,
Signal Integrity & RF Systems Engineer,Ottawave,1 month ago,"Cairo, Egypt ",Student · IT/Software Development · Software Development · Matlab · Web Based · Python · OCTAVE · REST · HTML · CSS · Development,https://wuzzuf.net/internship/idh7vmhmxmf4-signal-integrity-rf-systems-engineer-ottawave-cairo-egypt,,
